N,HAP,SAD,SUR,ANG,DIS,FEA,PIC
1,2.87,2.52,2.10,1.97,1.97,2.06,KM-NE1
2,2.87,2.42,1.58,1.84,1.77,1.77,KM-NE2
3,2.50,2.10,1.70,1.50,1.73,1.53,KM-NE3
4,4.90,1.13,1.26,1.10,1.03,1.10,KM-HA1
5,4.87,1.20,1.43,1.03,1.07,1.07,KM-HA2
6,4.61,1.32,1.39,1.23,1.10,1.19,KM-HA3
7,5.00,1.13,1.26,1.10,1.10,1.06,KM-HA4
8,4.65,1.29,1.39,1.23,1.16,1.16,KM-HA5
9,1.42,4.00,1.55,2.39,3.26,3.03,KM-SA1
10,1.23,4.39,1.45,2.61,3.19,2.71,KM-SA2
11,1.32,4.00,1.87,2.60,3.77,3.19,KM-SA3
12,1.26,4.29,1.58,2.26,3.39,2.94,KM-SA4
13,1.35,4.13,1.61,2.10,3.81,3.10,KM-SA5
14,2.13,1.55,4.97,1.65,1.45,2.10,KM-SU1
15,2.16,1.90,4.97,1.74,1.81,3.10,KM-SU2
16,2.16,1.84,4.94,1.71,1.65,2.32,KM-SU3
17,1.39,2.03,1.57,4.58,3.77,1.68,KM-AN1
18,1.45,2.84,1.68,4.06,3.87,1.90,KM-AN2
19,1.42,2.13,1.55,4.16,3.58,1.77,KM-AN3
20,1.26,2.10,1.81,3.52,4.71,2.26,KM-DI1
21,1.55,2.13,1.74,3.16,4.32,2.13,KM-DI2
22,1.39,1.87,1.94,3.61,4.58,1.94,KM-DI3
23,2.52,2.58,2.61,1.97,2.90,2.87,KM-FE1
24,1.50,2.97,3.67,2.83,3.77,3.80,KM-FE2
25,1.68,2.84,3.61,2.90,3.84,3.19,KM-FE3
26,3.03,2.16,2.06,1.94,1.84,1.87,KA-NE1
27,2.84,1.94,2.13,1.77,1.68,1.87,KA-NE2
28,3.06,1.84,2.29,1.77,1.71,1.84,KA-NE3
29,4.39,1.35,2.29,1.16,1.23,1.26,KA-HA1
30,4.77,1.29,2.45,1.26,1.23,1.23,KA-HA2
31,4.61,1.48,2.19,1.29,1.32,1.39,KA-HA3
32,4.03,1.68,1.42,1.19,1.13,1.29,KA-HA4
33,1.39,3.97,1.68,2.19,3.68,3.61,KA-SA1
34,1.26,4.13,1.77,2.40,3.10,2.74,KA-SA2
35,1.68,3.71,1.74,2.42,3.16,3.03,KA-SA3
36,2.87,1.55,4.68,1.52,1.52,1.65,KA-SU1
37,3.00,1.94,4.35,1.68,1.55,1.58,KA-SU2
38,2.94,1.97,4.74,1.68,1.71,2.03,KA-SU3
39,1.55,1.90,2.10,4.32,3.90,1.81,KA-AN1
40,1.67,1.97,1.70,4.60,4.10,1.77,KA-AN2
41,1.30,1.70,1.70,4.30,4.43,1.73,KA-AN3
42,1.42,3.55,2.13,2.65,4.19,3.03,KA-DI1
43,1.29,2.26,2.13,3.32,4.74,2.87,KA-DI2
44,1.32,1.94,1.94,2.52,4.68,2.55,KA-DI3
45,1.32,4.16,3.65,1.97,2.87,4.26,KA-FE1
46,1.29,3.42,3.16,1.94,4.06,3.87,KA-FE2
47,1.39,3.00,4.29,2.32,3.74,4.13,KA-FE3
48,2.06,2.16,4.29,1.61,2.10,2.42,KA-FE4
49,2.71,2.97,1.45,1.90,2.00,1.94,YM-NE1
50,2.73,2.67,1.87,1.97,2.00,2.00,YM-NE2
51,3.03,2.45,1.74,2.00,1.90,1.77,YM-NE3
52,4.90,1.39,1.29,1.32,1.29,1.35,YM-HA1
53,4.84,1.42,1.35,1.23,1.23,1.23,YN-HA2
54,4.87,1.32,1.32,1.19,1.13,1.16,YM-HA3
55,1.45,4.61,1.52,1.55,2.13,2.39,YM-SA1
